artist|title|spotid
Faith No More | She Loves Me Not | 3qtnoiqwumXLxaC2kdJ3Qo
Faith No More | I Started a Joke - 2016 Remastered Version | 55SPBSeDjW6ZHtbPVr6gFe
Freedy Johnston | Bad Reputation | 5aNAOwr2QoRbvyRG7ZVrhf
HIM | Poison girl | 1wfDvLRSQVFEWC7nfE6C4L
HIM | In Joy And Sorrow | 0H5fgOZ8nHUkVR0mJzPSgp
HIM | Right Here In My Arms | 6ihJQUpNPvjAa07pqOyeW5
HIM | Wicked Game | 5XenUjG7cRnTkUe8AVuuMX
HIM | Your Sweet 666 | 6W6jzzHPJ8SB8jazsuFTQ0
HIM | Strange World | 4Vfpuw54skl2F5Etmf3lnW
HIM | Heartache Every Moment | 2yeix7wKzcU3rmrrmYwTQs
HIM | The Funeral Of Hearts | 6Aw2CjqeNqXZX1FBJoaOIE
Weezer | Paranoid | 3n8bWAjDqrAscPTHoCVY3U
Weezer | No Scrubs | 3wQxUfquHLpgHoU6fo8Z50
Weezer | Sweet Dreams (Are Made Of This) | 0fjMXEy7uQIMtGlhHfzqXh
Weezer | Billie Jean | 48ilT9DmEuiky8QlCn3NWZ
Weezer | Happy Together | 3KxOYNt66Hj42HzO7ao0CV
Weezer | Africa | 3ZPKocroJIcnHGcnJVlLKD
Weezer | Stand By Me | 1TGcnUxYcBZAcXBKtwwTZP
Weezer | Mr. Blue Sky | 7ptKh9V0xt8CjLn0Z7ZgYd
Weezer | Take On Me | 1ZB2qWsheGabSEYvBYxjKn
Weezer | Everybody Wants To Rule The World | 3gEoKDn0uhb9qqLwC16tly
EPMD | Strictly Business | 1xZdjsAGrY4BUIbIlYy3EX
Kavinsky | First Blood | 3fGcMJNaGMxzfm0N1PkCVu
Kavinsky | Nightcall | 0U0ldCRmgCqhVvD6ksG63j
Kavinsky | ProtoVision | 5WsJ2FGI4e9JWKb6TCG3kL
No Violet | Petty Child | 5rnoliIXqTRSfMIBUWsv5N
No Violet | She Goes Her Own Way | 5I2S4dKulA5uB9JhH0ESRG
No Violet | America | 3Ohoo9SnXA8UEBvHBhSLPx
No Violet | Behaviour | 6CLLbkMc1yFbaNFT2MgK0j
No Violet | Be My Friend | 3I4V65ZQSZQBaMf9mK6Ift
London Grammar | Nightcall | 4aiIJJDuNhJ1I2RNfXbg7M
Mom Jeans., Sarah Levy | Movember (feat. Sarah Levy) | 59bCI20jZOle0v9FANxKRa
Mom Jeans. | Death Cup | 7FDZJ5Ky9QLTYrIMqOwQB0
Mom Jeans. | Edward 40hands | 3leYezEkKWsAY1SaWN0B4e
Mom Jeans. | *Sobs Quietly* | 4zRjMXyQQNv9MEyUq63fW6
Pet Shop Boys | Opportunities (Let's Make Lots of Money) - 2001 Remaster | 47700n8lblbe30NK4NHVb0
The B-52's | Dance This Mess Around | 0gEeV3AKllRnkBO4Kx3sFE
Best Coast | Feeling Ok | 0hgsUnkawqDllP4OF4g9MN
The Regrettes | Don't Stop Me Now | 6tUejaw8c0HZDg9TM4lXXf
Dorothy | Raise Hell | 2NPHU2WJaI3rrtCNNuQ8L1
Hannah Wicklund & The Steppin Stones | Bomb Through the Breeze | 2lYTIEA8KJQWysrhXDogcD
The Pretty Reckless | Take Me Down | 2j219ocVSxgt7eZ3KNw9a6
blink-182 | Every Time I Look For You | 0V7Wn8Fry7KBO5stYqpFvM
American Hi-Fi | Vertigo | 1wwQIHzuRaWICKMheHzSVX
American Hi-Fi | The Art Of Losing | 2rMiNAGtsJsZ7LZH1YMSSA
2 Mello | Mirror Temple - Mirror Magic Mix | 1wtbL0IKJN7n2oCThDgw73
Kate Nash | Twisted Up | 6vgQTF6SGl4K3rHKtNOmK6
Slow Club | Christmas TV | 3rY8Jrj9Kl1hOxQEy3q0KL
The Beths | Great No One | 00Js3i27pxH5WHVFhjqJLK
The Beths | Happy Unhappy | 2dEPFC68kYuYXwWN7YzbAb
The Beths | Mississippi Moonshine Girls | 7EXw3Lz6udVBE3fxQ7x2fZ
Shit Present | Anxious Type | 5t2g3yxe48iTRj11DOVQvV
The Beths | Little Death | 2YijNtj68MsYFDxtFKar5m
Camp Cope | Sagan-Indiana | 5CBpLoXEY1z1x1e6x8wJnQ
Camp Cope | Stove Lighter | 12MFxmDZppS0IIRRXMzFKY
Camp Cope | Animal & Real | 06VJPgDWtfRjN2Db5io2Oy
Camp Cope | Jet Fuel Can't Melt Steel Beams | 4Ujlyig5GgY8ObVvdoVouH
Camp Cope | Footscray Station | 1yZlrhkrsOzLUqzOaSuZ44
Camp Cope | The Opener | 0DFTtxA0UpZkKn8C4kpKVi
Camp Cope | Maps - triple j Like A Version | 3VQMhRTwfwXYCsOw0YJ889
Amanda Palmer | Guitar Hero | 06WPoSERagUDPT4DnjCK1S
AFI | Get Dark | 3CT6jsdInpVeqTfXQbZt78
AFI | Break Angels | 3P1m3aJgDl9OTrc4fY1gQF
AFI | Trash Bat | 77S5QQdlLJmr3HT8gMuWS9
Daron Malakian and Scars On Broadway | Lives | 3gcwc81JOrMSFUXr8PAkMV
Creeper | Novena | 3e0VT3I53Vs4H2Vp5s6HeO
IDLES | I'm Scum | 0LwxCg69PRxrpTK1fhKL7I
Creeper | Crickets | 7qoxB9VJU2Pq9lumknfs3t
The Wailers | She's Comin' Home | 39xBJcY6R9L9VjCMfKKqqR
The Sonics | Do You Love Me | 7yU1V4gJGqwxH3ymHyXfKp
The Regrettes | Poor Boy | 4hTctq4PxrW9qrX1tCDdTR
M83 | Midnight City | 6GyFP1nfCDB8lbD2bG0Hq9
Lil Peep, Lil Tracy | Awful Things | 7Hr2XoaGpIMKbNXCZDZ3le
Lil Peep | Save That Shit | 0S0vWvyZ6Rc79TXkWxT9QA
Alessia Cara | Here | 664gdARxaClFsoF5SXKOws
Creeper | Winona Forever | 2eq8kYfNhF7Y0xmStgHUG2
Creeper | Room 309 | 4tHBYPnRkiuk9DZVV2AXvM
Creeper | Hiding With Boys | 3quA6NYHEI2n2pLZvjc3LB
Creeper | Darling | 7mU8Xzle3Moy1HbRwx6jNG
Creeper | Misery | 4FNc69n63w5mulCWpc76zH
